GEOID10,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP1002000,HU1002000,P001001,P0010012000,NominationCount
08003,50,8,3,99999,999,,,Alamosa County,15445,6554,14966,6088,15445,14966,9
08005,50,8,5,19740,216,,,Arapahoe County,572003,238301,487967,196835,572003,487967,1
08014,50,8,14,19740,216,,,Broomfield County,55889,22646,,,55889,,15
08007,50,8,7,99999,999,,,Archuleta County,12084,8762,9898,6212,12084,9898,2
08011,50,8,11,99999,999,,,Bent County,6499,2242,5998,2366,6499,5998,4
08013,50,8,13,14500,216,,,Boulder County,294567,127071,291288,119900,294567,291288,4
08015,50,8,15,99999,999,,,Chaffee County,17809,10020,16242,8392,17809,16242,6
08019,50,8,19,19740,216,,,Clear Creek County,9088,5685,9322,5128,9088,9322,3
08023,50,8,23,99999,999,,,Costilla County,3524,2613,3663,2202,3524,3663,2
08025,50,8,25,99999,999,,,Crowley County,5823,1559,5518,1542,5823,5518,15
08027,50,8,27,99999,999,,,Custer County,4255,3956,3503,2989,4255,3503,20
08029,50,8,29,99999,999,,,Delta County,30952,14572,27834,12374,30952,27834,3
08031,50,8,31,19740,216,,,Denver County,600158,285797,554636,251435,600158,554636,25
08033,50,8,33,99999,999,,,Dolores County,2064,1468,1844,1193,2064,1844,2
08035,50,8,35,19740,216,,,Douglas County,285465,106859,175766,63333,285465,175766,15
08037,50,8,37,20780,999,,,Eagle County,52197,31312,41659,22111,52197,41659,1
08039,50,8,39,19740,216,,,Elbert County,23086,8939,19872,7113,23086,19872,5
08041,50,8,41,17820,999,,,El Paso County,622263,252852,516929,202428,622263,516929,1
08043,50,8,43,15860,999,,,Fremont County,46824,19242,46145,17145,46824,46145,8
08045,50,8,45,99999,999,,,Garfield County,56389,23309,43791,17336,56389,43791,2
08047,50,8,47,19740,216,,,Gilpin County,5441,3560,4757,2929,5441,4757,5
08049,50,8,49,99999,999,,,Grand County,14843,16061,12442,10894,14843,12442,4
08051,50,8,51,99999,999,,,Gunnison County,15324,11412,13956,9135,15324,13956,5
08053,50,8,53,99999,999,,,Hinsdale County,843,1388,790,1304,843,790,4
08055,50,8,55,99999,999,,,Huerfano County,6711,5075,7862,4599,6711,7862,1
08057,50,8,57,99999,999,,,Jackson County,1394,1286,1577,1145,1394,1577,1
08061,50,8,61,99999,999,,,Kiowa County,1398,805,1622,817,1398,1622,3
08065,50,8,65,20780,999,,,Lake County,7310,4271,7812,3913,7310,7812,3
08071,50,8,71,99999,999,,,Las Animas County,15507,8217,15207,7629,15507,15207,4
08073,50,8,73,99999,999,,,Lincoln County,5467,2420,6087,2406,5467,6087,1
08075,50,8,75,44540,999,,,Logan County,22709,8981,20504,8424,22709,20504,2
08077,50,8,77,24300,999,,,Mesa County,146723,62644,116255,48427,146723,116255,4
08081,50,8,81,99999,999,,,Moffat County,13795,6196,13184,5635,13795,13184,2
08087,50,8,87,22820,999,,,Morgan County,28159,11490,27171,10410,28159,27171,3
08091,50,8,91,99999,999,,,Ouray County,4436,3083,3742,2146,4436,3742,4
08093,50,8,93,19740,216,,,Park County,16206,13947,14523,10697,16206,14523,3
08095,50,8,95,99999,999,,,Phillips County,4442,2087,4480,2014,4442,4480,1
08097,50,8,97,99999,999,,,Pitkin County,17148,12953,14872,10096,17148,14872,4
08101,50,8,101,39380,999,,,Pueblo County,159063,69526,141472,58926,159063,141472,3
08103,50,8,103,99999,999,,,Rio Blanco County,6666,3309,5986,2855,6666,5986,1
08105,50,8,105,99999,999,,,Rio Grande County,11982,6630,12413,6003,11982,12413,5
08107,50,8,107,99999,999,,,Routt County,23509,16303,19690,11217,23509,19690,5
08111,50,8,111,99999,999,,,San Juan County,699,756,558,632,699,558,4
08113,50,8,113,99999,999,,,San Miguel County,7359,6638,6594,5197,7359,6594,3
08115,50,8,115,99999,999,,,Sedgwick County,2379,1415,2747,1387,2379,2747,5
08117,50,8,117,43540,999,,,Summit County,27994,29842,23548,24201,27994,23548,4
08119,50,8,119,17820,999,,,Teller County,23350,12643,20555,10362,23350,20555,2
08121,50,8,121,99999,999,,,Washington County,4814,2434,4926,2307,4814,4926,4
08123,50,8,123,24540,216,,,Weld County,252825,96281,180936,66194,252825,180936,1
08125,50,8,125,99999,999,,,Yuma County,10043,4466,9841,4295,10043,9841,2
08001,50,8,1,19740,216,,,Adams County,441603,163136,363857,132594,441603,363857,1
08083,50,8,83,99999,999,,,Montezuma County,25535,12094,23830,10497,25535,23830,3
08009,50,8,9,99999,999,,,Baca County,3788,2248,4517,2364,3788,4517,1
08017,50,8,17,99999,999,,,Cheyenne County,1836,975,2231,1105,1836,2231,1
08021,50,8,21,99999,999,,,Conejos County,8256,4286,8400,3886,8256,8400,1
08059,50,8,59,19740,216,,,Jefferson County,534543,229967,527056,212488,534543,527056,4
08063,50,8,63,99999,999,,,Kit Carson County,8270,3527,8011,3430,8270,8011,5
08067,50,8,67,20420,999,,,La Plata County,51334,25860,43941,20765,51334,43941,2
08069,50,8,69,22660,999,,,Larimer County,299630,132722,251494,105392,299630,251494,4
08079,50,8,79,99999,999,,,Mineral County,712,1201,831,1119,712,831,4
08085,50,8,85,33940,999,,,Montrose County,41276,18250,33432,14202,41276,33432,2
08089,50,8,89,99999,999,,,Otero County,18831,8969,20311,8813,18831,20311,3
08099,50,8,99,99999,999,,,Prowers County,12551,5942,14483,5977,12551,14483,3
08109,50,8,109,99999,999,,,Saguache County,6108,3843,5917,3087,6108,5917,2
