key,value,date
AAPL,109.83,09/14/16
AAPL,113.57,09/15/16
AAPL,112.93,09/16/16
AAPL,111.61,09/19/16
AAPL,111.60,09/20/16
AAPL,111.58,09/21/16
AAPL,112.63,09/22/16
AAPL,110.76,09/23/16
AAPL,110.92,09/26/16
AAPL,111.13,09/27/16
AAPL,111.97,09/28/16
AAPL,110.24,09/29/16
AAPL,111.09,09/30/16
AAPL,110.57,10/03/16
AAPL,111.04,10/04/16
AAPL,111.09,10/05/16
AAPL,111.92,10/06/16
AAPL,112.08,10/07/16
AAPL,114.04,10/10/16
AAPL,114.28,10/11/16
AAPL,115.31,10/12/16
AAPL,114.95,10/13/16
AAPL,115.59,10/14/16
AAPL,115.51,10/17/16
AAPL,115.43,10/18/16
AAPL,115.09,10/19/16
AAPL,115.03,10/20/16
AAPL,114.58,10/21/16
AAPL,115.61,10/24/16
AAPL,116.20,10/25/16
AAPL,113.59,10/26/16
AAPL,112.50,10/27/16
AAPL,111.75,10/28/16
AAPL,111.57,10/31/16
AAPL,109.56,11/01/16
AAPL,109.66,11/02/16
AAPL,108.48,11/03/16
AAPL,107.50,11/04/16
AAPL,109.05,11/07/16
AAPL,109.70,11/08/16
AAPL,109.52,11/09/16
AAPL,106.47,11/10/16
AAPL,107.10,11/11/16
AAPL,104.41,11/14/16
AAPL,105.79,11/15/16
AAPL,108.64,11/16/16
AAPL,108.60,11/17/16
AAPL,108.71,11/18/16
AAPL,110.36,11/21/16
AAPL,110.43,11/22/16
AAPL,109.86,11/23/16
AAPL,110.42,11/25/16
AAPL,110.20,11/28/16
AAPL,110.09,11/29/16
AAPL,109.16,11/30/16
AAPL,108.14,12/01/16
AAPL,108.55,12/02/16
AAPL,107.77,12/05/16
AAPL,108.60,12/06/16
AAPL,109.67,12/07/16
AAPL,110.74,12/08/16
AAPL,112.55,12/09/16
AAPL,111.91,12/12/16
AAPL,113.77,12/13/16
AAPL,113.77,12/14/16
AAPL,114.40,12/15/16
AAPL,114.54,12/16/16
AAPL,115.21,12/19/16
AAPL,115.51,12/20/16
AAPL,115.62,12/21/16
AAPL,114.86,12/22/16
AAPL,115.09,12/23/16
AAPL,115.82,12/27/16
AAPL,115.33,12/28/16
AAPL,115.30,12/29/16
AAPL,114.40,12/30/16
AAPL,114.72,01/03/17
AAPL,114.59,01/04/17
AAPL,115.18,01/05/17
AAPL,116.46,01/06/17
AAPL,117.53,01/09/17
AAPL,117.65,01/10/17
AAPL,118.28,01/11/17
AAPL,117.78,01/12/17
AAPL,117.58,01/13/17
AAPL,118.53,01/17/17
AAPL,118.52,01/18/17
AAPL,118.31,01/19/17
AAPL,118.53,01/20/17
AAPL,118.60,01/23/17
AAPL,118.50,01/24/17
AAPL,120.38,01/25/17
AAPL,120.44,01/26/17
AAPL,120.45,01/27/17
AAPL,120.14,01/30/17
AAPL,119.86,01/31/17
AAPL,127.17,02/01/17
AAPL,126.95,02/02/17
AAPL,127.49,02/03/17
AAPL,128.69,02/06/17
AAPL,129.91,02/07/17
AAPL,130.42,02/08/17
AAPL,131.36,02/09/17
AAPL,131.06,02/10/17
AAPL,132.22,02/13/17
AAPL,133.94,02/14/17
AAPL,134.43,02/15/17
AAPL,134.27,02/16/17
AAPL,134.63,02/17/17
AAPL,135.61,02/21/17
AAPL,136.01,02/22/17
AAPL,135.44,02/23/17
AAPL,135.57,02/24/17
AAPL,135.83,02/27/17
AAPL,135.89,02/28/17
AAPL,138.67,03/01/17
AAPL,137.85,03/02/17
AAPL,138.66,03/03/17
AAPL,138.22,03/06/17
AAPL,138.40,03/07/17
AAPL,137.89,03/08/17
AAPL,137.57,03/09/17
AAPL,138.03,03/10/17
AAPL,138.09,03/13/17
AAPL,137.88,03/14/17
AAPL,139.34,03/15/17
AAPL,139.56,03/16/17
AAPL,138.87,03/17/17
AAPL,140.33,03/20/17
AAPL,138.72,03/21/17
AAPL,140.29,03/22/17
AAPL,139.79,03/23/17
AAPL,139.51,03/24/17
AAPL,139.75,03/27/17
AAPL,142.65,03/28/17
AAPL,142.97,03/29/17
AAPL,142.78,03/30/17
AAPL,142.51,03/31/17
AAPL,142.55,04/03/17
AAPL,143.61,04/04/17
AAPL,142.87,04/05/17
AAPL,142.51,04/06/17
AAPL,142.19,04/07/17
AAPL,142.02,04/10/17
AAPL,140.50,04/11/17
AAPL,140.66,04/12/17
AAPL,139.92,04/13/17
AAPL,140.69,04/17/17
AAPL,140.07,04/18/17
AAPL,139.55,04/19/17
AAPL,141.30,04/20/17
AAPL,141.13,04/21/17
AAPL,142.49,04/24/17
AAPL,143.37,04/25/17
AAPL,142.53,04/26/17
AAPL,142.64,04/27/17
AAPL,142.50,04/28/17
AAPL,145.41,05/01/17
AAPL,146.33,05/02/17
AAPL,145.88,05/03/17
AAPL,145.36,05/04/17
AAPL,147.77,05/05/17
AAPL,151.78,05/08/17
AAPL,152.76,05/09/17
AAPL,152.03,05/10/17
AAPL,153.35,05/11/17
AAPL,155.49,05/12/17
AAPL,155.09,05/15/17
AAPL,154.86,05/16/17
